W1031 10:53:37.937909       1 warnings.go:70] unknown field "spec.template.metadata.creationTimestamp"
W1031 10:53:37.937923       1 warnings.go:70] unknown field "spec.volumeClaimTemplates[0].metadata.creationTimestamp"
W1031 10:53:37.956455       1 warnings.go:70] unknown field "spec.template.metadata.creationTimestamp"
W1031 10:53:37.956469       1 warnings.go:70] unknown field "spec.volumeClaimTemplates[0].metadata.creationTimestamp"
W1031 10:54:33.997877       1 warnings.go:70] metadata.annotations[volume.beta.kubernetes.io/storage-class]: deprecated since v1.8; use "storageClassName" attribute instead
I1031 10:54:33.998025       1 event.go:389] "Event occurred" object="demo/mgc" fieldPath="" kind="PetSet" apiVersion="apps.k8s.appscode.com/v1" type="Normal" reason="SuccessfulCreate" message="create Claim datadir-mgc-1 Pod mgc-1 in PetSet mgc success"
I1031 10:54:34.002470       1 event.go:389] "Event occurred" object="demo/mgc" fieldPath="" kind="PetSet" apiVersion="apps.k8s.appscode.com/v1" type="Normal" reason="SuccessfulCreate" message="create Pod mgc-1 in PetSet mgc successful"
W1031 10:54:34.009139       1 warnings.go:70] unknown field "spec.template.metadata.creationTimestamp"
W1031 10:54:34.009150       1 warnings.go:70] unknown field "spec.volumeClaimTemplates[0].metadata.creationTimestamp"
W1031 10:54:34.102745       1 warnings.go:70] unknown field "spec.template.metadata.creationTimestamp"
W1031 10:54:34.102756       1 warnings.go:70] unknown field "spec.volumeClaimTemplates[0].metadata.creationTimestamp"
W1031 10:54:34.119713       1 warnings.go:70] unknown field "spec.template.metadata.creationTimestamp"
W1031 10:54:34.119728       1 warnings.go:70] unknown field "spec.volumeClaimTemplates[0].metadata.creationTimestamp"
W1031 10:54:34.202247       1 warnings.go:70] unknown field "spec.template.metadata.creationTimestamp"
W1031 10:54:34.202257       1 warnings.go:70] unknown field "spec.volumeClaimTemplates[0].metadata.creationTimestamp"
W1031 10:54:34.222266       1 warnings.go:70] unknown field "spec.template.metadata.creationTimestamp"
W1031 10:54:34.222279       1 warnings.go:70] unknown field "spec.volumeClaimTemplates[0].metadata.creationTimestamp"
W1031 10:55:16.975158       1 warnings.go:70] metadata.annotations[volume.beta.kubernetes.io/storage-class]: deprecated since v1.8; use "storageClassName" attribute instead
I1031 10:55:16.975380       1 event.go:389] "Event occurred" object="demo/mgc" fieldPath="" kind="PetSet" apiVersion="apps.k8s.appscode.com/v1" type="Normal" reason="SuccessfulCreate" message="create Claim datadir-mgc-2 Pod mgc-2 in PetSet mgc success"
I1031 10:55:16.982698       1 event.go:389] "Event occurred" object="demo/mgc" fieldPath="" kind="PetSet" apiVersion="apps.k8s.appscode.com/v1" type="Normal" reason="SuccessfulCreate" message="create Pod mgc-2 in PetSet mgc successful"
W1031 10:55:16.994787       1 warnings.go:70] unknown field "spec.template.metadata.creationTimestamp"
W1031 10:55:16.994798       1 warnings.go:70] unknown field "spec.volumeClaimTemplates[0].metadata.creationTimestamp"
W1031 10:55:17.004867       1 warnings.go:70] unknown field "spec.template.metadata.creationTimestamp"
W1031 10:55:17.004879       1 warnings.go:70] unknown field "spec.volumeClaimTemplates[0].metadata.creationTimestamp"
W1031 10:55:17.022785       1 warnings.go:70] unknown field "spec.template.metadata.creationTimestamp"
W1031 10:55:17.022798       1 warnings.go:70] unknown field "spec.volumeClaimTemplates[0].metadata.creationTimestamp"
W1031 10:55:17.029792       1 warnings.go:70] unknown field "spec.template.metadata.creationTimestamp"
W1031 10:55:17.029805       1 warnings.go:70] unknown field "spec.volumeClaimTemplates[0].metadata.creationTimestamp"
W1031 10:55:17.050153       1 warnings.go:70] unknown field "spec.template.metadata.creationTimestamp"
W1031 10:55:17.050170       1 warnings.go:70] unknown field "spec.volumeClaimTemplates[0].metadata.creationTimestamp"
W1031 10:55:44.052570       1 warnings.go:70] unknown field "spec.template.metadata.creationTimestamp"
W1031 10:55:44.052582       1 warnings.go:70] unknown field "spec.volumeClaimTemplates[0].metadata.creationTimestamp"
